X;ano;cbo_2002;grau_instrucao_apos_2005;id_municipio;sigla_uf;mulher;raca_cor;tempo_emprego;valor_remuneracao_dezembro;idade;idade2;graduacao;mestrado;doutorado;sp;log_Sal;SEXO_UF;homem_branco_sp;homem_preto_sp;mulher_branca_sp;mulher_preta_sp;homem_branco_mg;homem_preto_mg;mulher_branca_mg;mulher_preta_mg;Tempo_emprego2;Grau_instrucao;mestrado completo;mestrado_completo;graduacao_completa;grau_instrucao;capital
2045;2019;251205;9;3550308;SP;0;0;29,5;13412,94;40;1600;1;0;0;1;9,50;0 0 1;1;0;0;0;0;0;0;0;870,25;1 0 0;0;0;1;0;1
2046;2019;251205;9;3550308;SP;0;0;56,9;6376,34;27;729;1;0;0;1;8,76;0 0 1;1;0;0;0;0;0;0;0;3237,61;1 0 0;0;0;1;0;1
2048;2019;251205;9;3550308;SP;1;0;7,5;3124,49;44;1936;1;0;0;1;8,05;1 0 1;0;0;1;0;0;0;0;0;56,25;1 0 0;0;0;1;0;1
2049;2019;251205;9;3550308;SP;1;0;9,7;7221,2;24;576;1;0;0;1;8,88;1 0 1;0;0;1;0;0;0;0;0;94,09;1 0 0;0;0;1;0;1
2050;2019;251205;9;3550308;SP;1;0;89,9;6405,72;29;841;1;0;0;1;8,76;1 0 1;0;0;1;0;0;0;0;0;8082,01;1 0 0;0;0;1;0;1
2053;2019;251205;10;3550308;SP;1;0;66,9;58623,1;37;1369;0;1;0;1;10,98;1 0 1;0;0;1;0;0;0;0;0;4475,61;0 1 0;1;1;0;1;1
2054;2019;251205;9;3550308;SP;1;1;4,3;6669,08;26;676;1;0;0;1;8,81;1 1 1;0;0;0;1;0;0;0;0;18,49;1 0 0;0;0;1;0;1
2055;2019;251205;9;3550308;SP;0;0;13,8;7983,31;28;784;1;0;0;1;8,99;0 0 1;1;0;0;0;0;0;0;0;190,44;1 0 0;0;0;1;0;1
2056;2019;251205;9;3550308;SP;0;0;203,9;14720,6;38;1444;1;0;0;1;9,60;0 0 1;1;0;0;0;0;0;0;0;41575,21;1 0 0;0;0;1;0;1
2057;2019;251205;9;3550308;SP;0;1;24,8;13833,76;38;1444;1;0;0;1;9,53;0 1 1;0;1;0;0;0;0;0;0;615,04;1 0 0;0;0;1;0;1
2058;2019;251205;9;3550308;SP;0;0;59,3;8113,81;34;1156;1;0;0;1;9,00;0 0 1;1;0;0;0;0;0;0;0;3516,49;1 0 0;0;0;1;0;1
2059;2019;251205;9;3550308;SP;1;0;5,9;6500;25;625;1;0;0;1;8,78;1 0 1;0;0;1;0;0;0;0;0;34,81;1 0 0;0;0;1;0;1
